Name,ppg,rpg,apg,spg,bpg,fgm,fga,fg%,TO,FG3M,FG3A,FTM,FTA,ft%,3PT%,egp
Eric Gordon,12.405797101449275,1.9420289855072463,2.652173913043478,0.6231884057971014,0.3623188405797101,4.217391304347826,9.46376811594203,44.5635528330781,1.5072463768115942,1.9130434782608696,5.159420289855072,2.057971014492753,2.5072463768115942,82.08092485549132,37.07865168539326,75
Jerami Grant,20.476190476190474,4.492063492063492,2.380952380952381,0.8095238095238095,0.8412698412698413,6.888888888888889,14.492063492063492,47.53559693318729,1.8412698412698407,2.2857142857142856,5.698412698412699,4.412698412698413,5.428571428571429,81.28654970760235,40.11142061281336,75
Draymond Green,8.452054794520548,7.191780821917808,6.849315068493151,1.0136986301369864,0.821917808219178,3.424657534246576,6.493150684931507,52.74261603375528,2.794520547945205,0.547945205479452,1.7945205479452055,1.0547945205479452,1.4794520547945205,71.2962962962963,30.53435114503816,75
Jalen Green,22.144736842105264,3.736842105263158,3.697368421052632,0.7763157894736842,0.2368421052631578,7.447368421052632,17.88157894736842,41.64827078734364,2.631578947368421,2.460526315789474,7.2894736842105265,4.789473684210527,6.092105263157895,78.61771058315335,33.754512635379065,75
Josh Green,9.1,3.033333333333333,1.7166666666666666,0.7,0.0833333333333333,3.4166666666666665,6.366666666666666,53.66492146596858,1.2,1.1333333333333333,2.816666666666667,1.1333333333333333,1.5666666666666669,72.34042553191489,40.23668639053254,75
Quentin Grimes,11.253521126760564,3.2253521126760565,2.112676056338028,0.6619718309859155,0.3661971830985915,3.971830985915493,8.47887323943662,46.84385382059801,0.971830985915493,2.211267605633803,5.732394366197183,1.0985915492957747,1.380281690140845,79.59183673469389,38.57493857493858,75
Rui Hachimura,11.22222222222222,4.492063492063492,0.9206349206349206,0.3015873015873015,0.4126984126984127,4.507936507936508,9.26984126984127,48.630136986301366,0.8412698412698413,0.8095238095238095,2.5396825396825395,1.3968253968253967,1.8888888888888888,73.94957983193277,31.875000000000004,75
Tyrese Haliburton,20.714285714285715,3.6607142857142856,10.446428571428571,1.625,0.4464285714285714,7.357142857142857,15.017857142857142,48.98929845422117,2.517857142857143,2.875,7.178571428571429,3.125,3.5892857142857144,87.06467661691542,40.049751243781095,75
Tim Hardaway Jr.,14.352112676056338,3.535211267605634,1.816901408450704,0.6901408450704225,0.1690140845070422,4.788732394366197,11.929577464788732,40.14167650531287,0.8450704225352113,2.9859154929577465,7.746478873239437,1.7887323943661972,2.323943661971831,76.96969696969698,38.54545454545455,75
James Harden,20.96551724137931,6.103448275862069,10.655172413793103,1.2241379310344829,0.5344827586206896,6.396551724137931,14.517241379310343,44.06175771971496,3.362068965517241,2.7758620689655173,7.206896551724138,5.396551724137931,6.224137931034483,86.70360110803324,38.51674641148325,75
Gary Harris,8.270833333333334,2.0416666666666665,1.2291666666666667,0.9375,0.25,2.875,6.395833333333333,44.95114006514658,0.5833333333333334,1.9583333333333333,4.541666666666667,0.5625,0.625,90.0,43.11926605504587,75
Joe Harris,7.594594594594595,2.216216216216216,1.364864864864865,0.4594594594594595,0.1756756756756756,2.716216216216216,5.945945945945946,45.68181818181819,0.5540540540540541,1.9189189189189189,4.5,0.2432432432432432,0.3783783783783784,64.28571428571429,42.64264264264264,75
Tobias Harris,14.66216216216216,5.72972972972973,2.5135135135135136,0.918918918918919,0.5405405405405406,5.716216216216216,11.41891891891892,50.05917159763313,1.2027027027027026,1.7027027027027026,4.378378378378378,1.527027027027027,1.7432432432432432,87.59689922480621,38.88888888888889,75
Shaquille Harrison,8.8,4.4,6.0,2.2,0.4,3.0,7.2,41.66666666666666,1.2,0.6,2.0,2.2,3.0,73.33333333333334,30.0,75
Josh Hart,9.776315789473683,7.802631578947368,3.8157894736842106,1.1578947368421053,0.2763157894736842,3.6184210526315774,6.842105263157895,52.88461538461539,1.5394736842105263,0.8026315789473685,2.1578947368421053,1.736842105263158,2.3157894736842106,75.0,37.19512195121951,75
Killian Hayes,10.342105263157896,2.9078947368421053,6.184210526315789,1.368421052631579,0.3684210526315789,4.039473684210527,10.723684210526317,37.66871165644172,2.276315789473684,1.0526315789473684,3.763157894736842,1.2105263157894737,1.4736842105263157,82.14285714285715,27.97202797202797,75
Gordon Hayward,14.66,4.3,4.12,0.84,0.24,5.52,11.62,47.50430292598967,1.98,1.04,3.2,2.58,3.18,81.1320754716981,32.5,75
Tyler Herro,20.104477611940297,5.373134328358209,4.17910447761194,0.7611940298507462,0.2388059701492537,7.268656716417911,16.55223880597015,43.91343552750226,2.3582089552238807,3.029850746268657,8.014925373134329,2.537313432835821,2.716417910447761,93.40659340659342,37.80260707635009,75
Buddy Hield,16.8,5.0,2.8125,1.15,0.325,5.9375,12.975,45.761078998073216,1.7375,3.6,8.4625,1.325,1.6125,82.1705426356589,42.54062038404727,75
